6.250000e-02 5.026467e-03
6.243755e-02 5.030223e-03
6.237510e-02 5.033966e-03
6.231265e-02 5.037697e-03
6.225020e-02 5.041415e-03
6.218775e-02 5.045121e-03
6.212530e-02 5.048813e-03
6.206285e-02 5.052492e-03
6.200040e-02 5.056158e-03
6.193795e-02 5.059810e-03
6.187550e-02 5.063448e-03
6.181305e-02 5.067072e-03
6.175060e-02 5.070681e-03
6.168815e-02 5.074276e-03
6.162570e-02 5.077857e-03
6.156325e-02 5.081422e-03
6.150080e-02 5.084971e-03
6.143835e-02 5.088506e-03
6.137590e-02 5.092024e-03
6.131345e-02 5.095527e-03
6.125100e-02 5.099013e-03
6.118855e-02 5.102482e-03
6.112610e-02 5.105935e-03
6.106365e-02 5.109371e-03
6.100120e-02 5.112789e-03
6.093875e-02 5.116190e-03
6.087630e-02 5.119572e-03
6.081385e-02 5.122937e-03
6.075140e-02 5.126283e-03
6.068895e-02 5.129610e-03
6.062650e-02 5.132918e-03
6.056405e-02 5.136207e-03
6.050160e-02 5.139476e-03
6.043915e-02 5.142725e-03
6.037670e-02 5.145954e-03
6.031425e-02 5.149162e-03
6.025180e-02 5.152349e-03
6.018935e-02 5.155515e-03
6.012690e-02 5.158659e-03
6.006445e-02 5.161782e-03
6.000200e-02 5.164882e-03
5.993955e-02 5.167959e-03
5.987710e-02 5.171013e-03
5.981465e-02 5.174044e-03
5.975220e-02 5.177051e-03
5.968975e-02 5.180034e-03
5.962730e-02 5.182992e-03
5.956485e-02 5.185926e-03
5.950240e-02 5.188834e-03
5.943995e-02 5.191716e-03
5.937750e-02 5.194572e-03
5.931505e-02 5.197402e-03
5.925260e-02 5.200204e-03
5.919015e-02 5.202979e-03
5.912770e-02 5.205727e-03
5.906525e-02 5.208445e-03
5.900280e-02 5.211135e-03
5.894035e-02 5.213796e-03
5.887790e-02 5.216427e-03
5.881545e-02 5.219028e-03
5.875300e-02 5.221598e-03
5.869055e-02 5.224136e-03
5.862810e-02 5.226643e-03
5.856565e-02 5.229117e-03
5.850320e-02 5.231559e-03
5.844075e-02 5.233967e-03
5.837830e-02 5.236341e-03
5.831585e-02 5.238681e-03
5.825340e-02 5.240985e-03
5.819095e-02 5.243254e-03
5.812850e-02 5.245486e-03
5.806605e-02 5.247681e-03
5.800360e-02 5.249838e-03
5.794115e-02 5.251957e-03
5.787870e-02 5.254037e-03
5.781625e-02 5.256077e-03
5.775380e-02 5.258076e-03
5.769135e-02 5.260035e-03
5.762890e-02 5.261951e-03
5.756645e-02 5.263824e-03
5.750400e-02 5.265654e-03
5.744155e-02 5.267440e-03
5.737910e-02 5.269181e-03
5.731665e-02 5.270875e-03
5.725420e-02 5.272522e-03
5.719175e-02 5.274122e-03
5.712930e-02 5.275672e-03
5.706685e-02 5.277173e-03
5.700440e-02 5.278623e-03
5.694195e-02 5.280021e-03
5.687950e-02 5.281366e-03
5.681705e-02 5.282657e-03
5.675460e-02 5.283893e-03
5.669215e-02 5.285072e-03
5.662970e-02 5.286194e-03
5.656725e-02 5.287257e-03
5.650480e-02 5.288260e-03
5.644235e-02 5.289201e-03
5.637990e-02 5.290080e-03
5.631745e-02 5.290893e-03
5.625500e-02 5.291641e-03
5.619255e-02 5.292322e-03
5.613010e-02 5.292933e-03
5.606765e-02 5.293473e-03
5.600520e-02 5.293941e-03
5.594275e-02 5.294333e-03
5.588030e-02 5.294650e-03
5.581785e-02 5.294887e-03
5.575540e-02 5.295044e-03
5.569295e-02 5.295119e-03
5.563050e-02 5.295107e-03
5.556805e-02 5.295009e-03
5.550560e-02 5.294820e-03
5.544315e-02 5.294538e-03
5.538070e-02 5.294160e-03
5.531825e-02 5.293685e-03
5.525580e-02 5.293108e-03
5.519335e-02 5.292426e-03
5.513090e-02 5.291637e-03
5.506845e-02 5.290737e-03
5.500600e-02 5.289722e-03
5.494355e-02 5.288590e-03
5.488110e-02 5.287337e-03
5.481865e-02 5.285959e-03
5.475620e-02 5.284452e-03
5.469375e-02 5.282813e-03
5.463130e-02 5.281038e-03
5.456885e-02 5.279125e-03
5.450640e-02 5.277069e-03
5.444395e-02 5.274867e-03
5.438150e-02 5.272517e-03
5.431905e-02 5.270016e-03
5.425660e-02 5.267361e-03
5.419415e-02 5.264551e-03
5.413170e-02 5.261584e-03
5.406925e-02 5.258460e-03
5.400680e-02 5.255179e-03
5.394435e-02 5.251740e-03
5.388190e-02 5.248144e-03
5.381945e-02 5.244394e-03
5.375700e-02 5.240492e-03
5.369455e-02 5.236439e-03
5.363210e-02 5.232240e-03
5.356965e-02 5.227898e-03
5.350720e-02 5.223418e-03
5.344475e-02 5.218803e-03
5.338230e-02 5.214060e-03
5.331985e-02 5.209192e-03
5.325740e-02 5.204204e-03
5.319495e-02 5.199103e-03
5.313250e-02 5.193893e-03
5.307005e-02 5.188580e-03
5.300760e-02 5.183167e-03
5.294515e-02 5.177661e-03
5.288270e-02 5.172023e-03
5.282025e-02 5.165042e-03
5.275780e-02 5.158049e-03
5.269535e-02 5.151043e-03
5.263290e-02 5.144024e-03
5.257045e-02 5.136991e-03
5.250800e-02 5.129946e-03
5.244555e-02 5.122888e-03
5.238310e-02 5.115816e-03
5.232065e-02 5.108732e-03
5.225820e-02 5.101634e-03
5.219575e-02 5.094524e-03
5.213330e-02 5.087400e-03
5.207085e-02 5.080263e-03
5.200840e-02 5.073113e-03
5.194595e-02 5.065949e-03
5.188350e-02 5.058773e-03
5.182105e-02 5.051583e-03
5.175860e-02 5.044380e-03
5.169615e-02 5.037164e-03
5.163370e-02 5.029934e-03
